FID,OBJECTID,NAME,STATE_ABBR,STATE_FIPS,ORDER_ADM,MONTH_ADM,DAY_ADM,YEAR_ADM,TYPE,POP,SQ_MILES,PRIM_MILES,Shape_Leng,Shape__Area,Shape__Length
1,1,Arkansas,AR,05,25,June,15,1836,Land,2915918,53181.2,1329.6,21.737081642,13.5861547124941,21.7370816427105
2,2,Arizona,AZ,04,48,February,14,1912,Land,6392017,113990.1,1487.7,23.8897145208,28.9191445715742,23.8897145149176
3,3,Colorado,CO,08,38,August,1,1876,Land,5029196,104092,1304.6,22.0171039045,28.0389981291344,22.0171039057072
4,4,Iowa,IA,19,29,December,28,1846,Land,3046355,56268.6,1127.3,20.1320641008,15.8564571867159,20.1320641010751
5,5,Illinois,IL,17,21,December,3,1818,Land,12830632,56339.8,1318.5,21.6602109238,15.4084771589035,21.6602109265522
6,7,Indiana,IN,18,19,December,11,1816,Land,6483802,36184,1070.5,17.2925041433,9.87266102799458,17.2925041433618
7,9,Kansas,KS,20,34,January,29,1861,Land,2853118,82277.2,1244.6,21.409754949,22.0045412805002,21.4097549487878
8,10,Missouri,MO,29,24,August,10,1821,Land,5988927,69705.4,1469.8,24.681748636,18.6146948727167,24.6817486317759
9,11,Nebraska,NE,31,37,March,1,1867,Land,1826341,77348.2,1356.6,24.2325438071,21.6140586077058,24.2325438087196
10,12,New Mexico,NM,35,47,January,6,1912,Land,2059179,121586.6,1486.3,23.673899575,30.8922984878711,23.6738995740088
11,13,Nevada,NV,32,36,October,31,1864,Land,2700551,110579.2,1473.6,23.8537452595,29.9425300125117,23.8537452603812
12,14,Oklahoma,OK,40,46,November,16,1907,Land,3751351,69888.4,1636.1,26.9788127869,18.0025064392833,26.9788128002111
13,16,Tennessee,TN,47,16,June,1,1796,Land,6346105,42144,1297.5,22.3590936545,10.8895166835364,22.359093649147
14,17,Utah,UT,49,45,January,4,1896,Land,2763885,84897.3,1227.1,20.0008705521,22.9747293383061,20.0008705522248
15,18,West Virginia,WV,54,35,June,20,1863,Land,1852994,24224.1,1221.8,20.0387341149,6.49225440369082,20.0387341040247
16,19,Idaho,ID,16,43,July,3,1890,Land,1567582,83576.3,1819.7,30.9084702528,24.4591949592545,30.9084702602381
17,21,Montana,MT,30,41,November,8,1889,Land,989415,147046.5,1950.2,36.4256931759,45.0810982921444,36.4256931839088
18,22,North Dakota,ND,38,39,November,2,1889,Land,672591,70698.8,1291.1,24.6625671238,21.8399467730674,24.6625671196187
19,23,South Dakota,SD,46,40,November,2,1889,Land,814180,77119.5,1286.3,23.2919024289,22.5797331873296,23.2919024229058
20,24,Vermont,VT,50,14,March,4,1791,Land,625741,9619.1,552.5,9.45453737563,2.79919065098557,9.45453738552535
21,25,Wyoming,WY,56,44,July,10,1890,Land,563626,97811.1,1260.6,21.9957866524,27.9715106707654,21.9957866523663
22,26,Puerto Rico,PR,72,0, ,0,0,Land,3725789,3452.2,543.2,8.12646974741,0.763749166070966,8.12646974663545
23,27,U.S. Virgin Islands,VI,78,0, ,0,0,Land,106405,133.8,184.7,2.76088805285,0.0295682481419135,2.76088803428546
24,28,Florida,FL,12,27,March,3,1845,Land,18801310,56364.1,7314,112.89617946,13.47735656152,112.896179479564
25,29,Texas,TX,48,28,December,29,1845,Land,25145561,264754.3,5589.9,87.132559928,65.1406051465892,87.132930962411
26,30,Alabama,AL,01,22,December,14,1819,Land,4779736,51645.9,1388.9,21.6417334297,12.8791637180163,21.6417334397632
27,31,Georgia,GA,13,4,January,2,1788,Land,9687653,58738.7,2246.7,35.5611329954,14.6254228988221,35.5611329767888
28,32,Louisiana,LA,22,18,April,30,1812,Land,4533372,46661.4,3811.2,59.9393990978,11.4244183274429,59.9393991603361
29,33,Mississippi,MS,28,20,December,10,1817,Land,2967297,47664.8,1656.9,26.1857532226,11.881324106186,26.185753226389
30,34,South Carolina,SC,45,8,May,23,1788,Land,4625364,30867.2,2167.6,34.7197083227,7.79468633246302,34.7197083086856
31,35,California,CA,06,31,September,9,1850,Land,37253956,158047.4,3389.8,55.3233988481,41.6130939528946,55.3233988454336
32,36,Connecticut,CT,09,5,January,9,1788,Land,3574097,4972.2,476.8,7.98631441661,1.39128906192423,7.98631442292634
33,37,District of Columbia,DC,11,0, ,0,0,Land,601723,62.1,52.7,0.865789231549,0.0166910446266684,0.865789232872739
34,38,Delaware,DE,10,1,December,7,1787,Land,897934,1979.7,342.5,5.46897041869,0.533125917397456,5.46897041244999
35,39,Kentucky,KY,21,15,June,1,1792,Land,4339367,40391.8,1332.5,22.5102926587,10.6639769527144,22.5102926552896
36,40,Massachusetts,MA,25,6,February,6,1788,Land,6547629,8113,1353.4,23.2744900751,2.29256081090284,23.2744900867516
37,41,Maryland,MD,24,7,April,28,1788,Land,5773552,9883.8,3087,50.8926672172,2.66400053571988,50.8927787498041
38,42,North Carolina,NC,37,12,November,21,1789,Land,9535483,49352,3942.7,64.5721525816,12.7052826639683,64.5721525912376
39,43,New Jersey,NJ,34,3,December,18,1787,Land,8791894,7567,1056.8,17.4813203464,2.0729563559712,17.4813203256544
40,44,New York,NY,36,11,July,26,1788,Land,19378102,48676,2431.7,42.2210294763,13.9090312011458,42.2210294764193
41,45,Ohio,OH,39,17,March,1,1803,Land,11536504,41280.6,1165,19.2940533645,11.3248797268398,19.2940533671383
42,47,Pennsylvania,PA,42,2,December,12,1787,Land,12702379,45287,1003.6,17.6860116098,12.5305885138639,17.6860116121027
43,48,Rhode Island,RI,44,13,May,29,1790,Land,1052567,1084.6,408.7,6.62883855834,0.303738906323133,6.62883855400126
44,49,Virginia,VA,51,10,June,25,1788,Land,8001024,40000.6,3446.3,57.0889240276,10.5594473030305,57.0889240190447
45,50,Wisconsin,WI,55,30,May,29,1848,Land,5686986,56098.6,1688.2,29.4676494562,16.4822505493082,29.4676494628728
