store_name,city_name,state_id,lat,lng
Smith's Burley 123,Burley,ID,42.537,-113.782
Smith's St George 280,St. George,UT,37.033,-113.609
River Rd and 1450 S,St George,UT,37.083,-113.555
Smith's St. George 189,St. George,UT,37.108,-113.593
Albertsons St. George 1329,St. George,UT,37.121,-113.625
Target St. George 1357,St. George,UT,37.103,-113.554
W Sunset Blvd & N Bluff St,St George,UT,37.127,-113.602
Red Cliffs Dr & St. George Blv,St George,UT,37.111,-113.554
Smith's St George 278,St. George,UT,37.1,-113.534
Mall Dr and 2780 E.,St George,UT,37.096,-113.526
Lin's St George 834,St. George,UT,37.094,-113.524
Green Springs Dr,Washington,UT,37.127,-113.524
Sandhill & Hillside - Mesquite,Mesquite,NV,36.81,-114.062
Terribles Mesquite Roadhouse,Mesquite,NV,36.804,-114.109
2nd Ave and 38th St - Willisto,Williston,ND,48.179,-103.627
Albertsons Williston 28,Williston,ND,48.168,-103.623
20th & W. Main,Artesia,NM,32.842,-104.421
Albertsons Carlsbad 665,Carlsbad,NM,32.429,-104.228
West Pierce St & Richard St,Carlsbad,NM,32.436,-104.242
Safeway Fort Morgan 2341,Fort Morgan,CO,40.254,-103.81
King Soopers Bennett 112,Bennett,CO,39.743,-104.436
"Main & College, Roswell",Roswell,NM,33.408,-104.522
Albertsons Roswell 690,Roswell,NM,33.381,-104.524
Safeway Falcon 1644,Falcon,CO,38.941,-104.602
King Soopers Falcon 147,Peyton,CO,38.943,-104.611
Woodmen and Marksheffel Rd,Colorado Springs,CO,38.941,-104.675
C Springs - Dublin and Tutt,Colorado Springs,CO,38.926,-104.716
King Soopers Colorado Springs,Colorado Springs,CO,38.965,-104.755
Briargate and Union,Colorado Springs,CO,38.965,-104.757
Albertsons Colorado Springs 80,Colorado Springs,CO,38.932,-104.739
Dublin and Austin Bluffs,Colorado Springs,CO,38.933,-104.74
King Soopers Colorado Springs,Colorado Springs,CO,39.027,-104.781
Albertsons Colorado Springs 84,Colorado Springs,CO,38.959,-104.767
Carefree and Pony Tracks,Colorado Springs,CO,38.886,-104.702
Target Colo Springs 2221,Colorado Springs,CO,38.955,-104.768
N Powers Rd & Barnes Rd,Colorado Springs,CO,38.894,-104.718
King Soopers Colorado Springs,Colorado Springs,CO,38.94,-104.76
Woodmen & Rangewood,Colorado Springs,CO,38.938,-104.761
King Soopers Colorado Springs,Colorado Springs,CO,38.866,-104.68
Constitution and Marksheffel,Colorado Springs,CO,38.867,-104.682
Target Colorado Springs 1501,Colorado Springs,CO,38.888,-104.718
Voyager Pkwy & Briargate Pkwy,Colorado Springs,CO,38.964,-104.796
Interquest Parkway,Colorado Springs,CO,38.992,-104.808
Austin Bluffs and Academy,Colorado Springs,CO,38.894,-104.751
Briargate Blvd & Chapel Hills,Colorado Springs,CO,38.945,-104.794
Voyager and Spectrum Loop,Colorado Springs,CO,39.021,-104.816
Academy & Flintridge-Colorado,Colorado Springs,CO,38.902,-104.769
King Soopers Colorado Springs,Colorado Springs,CO,38.892,-104.761
Academy & Brookwood-CO Springs,Colorado Springs,CO,38.931,-104.794
Hwy 24 and Meadowbrook,Colorado Springs,CO,38.843,-104.693
Palmer Park and Powers,Colorado Springs,CO,38.858,-104.722
Target Colorado Springs T-154,Colorado Springs,CO,38.905,-104.781
Northgate & Struthers,Colorado Springs,CO,39.029,-104.829
Baptist & Jackson Creek Pkwy,Monument,CO,39.057,-104.84
King Soopers Colorado Springs,Colorado Springs,CO,39.058,-104.843
BASE ACCESS Peterson SFB Excha,Colorado Springs,CO,38.813,-104.679
Platte and Murray,Colorado Springs,CO,38.84,-104.748
University Village-CO Springs,Colorado Springs,CO,38.901,-104.818
